Comment,Description,Designator,LibRef,Manufacturer 1,Manufacturer Part Number 1,Quantity,Supplier 1,Supplier Part Number 1,Supplier Order Qty 1,
0.1UF 50V X7R,CAP CER 0.1UF 50V X7R 1206 YAGEO CC1206KRX7R9BB104,"C1, C2, C3, C4, C5",CC1206KRX7R9BB104,Yageo,CC1206KRX7R9BB104,5,Digi-Key,311-1179-2-ND,5,
1UF 25V X7R,CAP CER 1UF 25V X7R 1206 Yageo CC1206KKX7R8BB105,"C6, C7, C8, C9",CC1206KKX7R8BB105,Yageo,CC1206KKX7R8BB105,4,Digi-Key,311-1356-2-ND,4,
Molex 0022232031 3 Pin .100 Male,Molex 3 Pin .100 With Retetion,"J1, J2",Conn3Pin,"Molex, LLC",22232031,2,Digi-Key,WM4201-ND,2,
Header2,CONN HEADER 2POS VERT T/H FCI 77311-118-02LF,J3,77311-118-02LF,FCI,77311-118-02LF,1,Digi-Key,609-4434-ND,1,
B4B-PH-K-S(LF)(SN),,J4,B4B-PH-K-S(LF)(SN),JST Sales America Inc.,B4B-PH-K-S(LF)(SN),1,Digi-Key,455-1706-ND,1,
3220-10-0100 SWD,"HiRose 3220-10-0100 BOX HEADER, 0.050 10 POS",J5,3220-10-0100-00,CNC Tech,3220-10-0100-00,1,Digi-Key,1175-1627-ND,1,
1K 1%,Resistor 1K 1% 0603 CRCW06031K00FKEAHP,R1,CRCW06031K00FKEAHP,Vishay Dale,CRCW06031K00FKEAHP,1,Digi-Key,541-1.00KSCT-ND,1,
ATSAMD10C13A-SSUT,IC MCU 32BIT 8KB FLASH 14SOIC,U1,ATSAMD10C13A,Atmel,ATSAMD10C13A-SSUT,1,Digi-Key,ATSAMD10C13A-SSUTDKR-ND,1,
DRV8838DSGT,IC BRIDGE DRIVER PAR 8WSON,U2,DRV8838DSGT,Texas Instruments,DRV8838DSGR,1,Digi-Key,296-40081-1-ND,1,
MCP1702T-3302E/CB,IC REG LDO 3.3V 0.25A SOT23A-3 Microchip MCP1702T-3302E/CB,U3,MCP1702,Microchip Technology,MCP1702T-3302E/CB,1,Digi-Key,MCP1702T-3302E/CBCT-ND,1,
